Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"4820 University Dr NW, Huntsville, AL 35816-1867","American,Deli","American, Deli",,AL 35816-1867,,,,Ruggby's Food & Spirits,,FSR,Geography/Ethnic
"4925 University Dr NW Ste 188, Huntsville, AL 35816-1886",,,,AL 35816-1886,"Lunch, Dinner",,,Bumper's Billiards,,FSR,Food-Centric
"10294 Centre Rd, Gadsden, AL 35903-4200","American,Vegetarian Friendly",American,,AL 35903-4200,"Lunch, Dinner, Breakfast, Brunch",$,,Beans and Greens,Vegetarian Friendly,LSR,Geography/Ethnic
"1619 Rainbow Dr, Gadsden, AL 35901-5323","American,Barbecue,Vegetarian Friendly","American, Barbecue",,AL 35901-5323,"Lunch, Dinner",$$ - $$$,,Pruett's Bar B Q,"Vegetarian Friendly, Vegan Options",Bar/Club,Geography/Ethnic
"404 Jordan Ln NW, Huntsville, AL 35805-2624","Asian,Korean,Vegetarian Friendly","Asian, Korean",,AL 35805-2624,"Lunch, Dinner",$$ - $$$,,I Love Korea,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"1504B Rainbow Dr, Gadsden, AL 35901-5322","American,Bar,Seafood","Seafood, American, Bar, Pub","Takeout, Seating, Wheelchair Accessible, Table Service, Reservations, Serves Alcohol",AL 35901-5322,"Lunch, Dinner",$$ - $$$,,Lolas on the River,,Bar/Club,Geography/Ethnic
"420 Jordan Ln NW, Huntsville, AL 35805-2624","Indian,Vegetarian Friendly,Vegan Options",Indian,,AL 35805-2624,"Lunch, Dinner",$$ - $$$,,Sitar Indian Restaurant,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"544 Broad St, Gadsden, AL 35901-3720",Dessert,,"Takeout, Wheelchair Accessible",AL 35901-3720,"Lunch, Dinner",$,,Frios Gourmet Pops,,LSR,Food-Centric
"440 George Wallace Dr, Gadsden, AL 35903-2280","Bakeries,American",American,"Takeout, Wheelchair Accessible",AL 35903-2280,Breakfast,$,,Cothran's Bakery,,LSR,Food-Centric
"1212 Sparkman Drive North West, Huntsville, AL 35816-2602","Middle Eastern,Persian,Vegetarian Friendly","Middle Eastern, Persian",,AL 35816-2602,Lunch,$$ - $$$,,House Of Kabab,Vegetarian Friendly,FSR,Geography/Ethnic
"100 Southside Sq, Huntsville, AL 35801-4225","American,Vegan Options,Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Street Parking, Valet Parking, Free Off-Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Table Service, Free Wifi",American,AL 35801-4225,"Lunch, Brunch, Dinner, Drinks, Late Night",$$$$,$12 - $36,Cotton Row,"Gluten Free Options, Vegan Options",FSR,Geography/Ethnic
"5 Tranquility Base Huntsville Marriott Hotel, Huntsville, AL 35805-3371",Steakhouse,Steakhouse,"Seating, Table Service",AL 35805-3371,"Breakfast, Dinner, Brunch",,,Seasons Restaurant,,FSR,Food-Centric
"329 Locust St, Gadsden, AL 35901-3735","Italian,Pizza,Vegetarian Friendly","Pizza, Italian",,AL 35901-3735,"Lunch, Dinner",$$ - $$$,,Mater's Pizza & Pasta Emporium,Vegetarian Friendly,FSR,Geography/Ethnic
"114 Jordan Ln NW, Huntsville, AL 35805-2618","American,Cajun & Creole","American, Cajun & Creole","Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Table Service, Takeout",AL 35805-2618,"Lunch, Dinner",$$ - $$$,,Tim's Cajun Kitchen,,FSR,Geography/Ethnic
"527 Wynn Dr NW, Huntsville, AL 35816-3445",Fast Food,Fast Food,"Takeout, Wheelchair Accessible, Seating",AL 35816-3445,"Lunch, Dinner",$,,Tenders,,LSR,Food-Centric
"5901 University Dr NW, Huntsville, AL 35806-2506",American,American,,AL 35806-2506,,$,,Arby's,,LSR,Geography/Ethnic
"311 Jordan Ln NW, Huntsville, AL 35805-2621","Mexican,Vegetarian Friendly",Mexican,,AL 35805-2621,"Lunch, Dinner",$,,La Alameda Mexican,Vegetarian Friendly,LSR,Geography/Ethnic
"1617 Rainbow Dr, Gadsden, AL 35901-5380","American,Barbecue,Vegetarian Friendly","Takeout, Highchairs Available, Wheelchair Accessible, Seating, Table Service","American, Barbecue",AL 35901-5380,"Lunch, Dinner",$,,Pruetts Bar-Bbq,"Vegetarian Friendly, Vegan Options",Bar/Club,Geography/Ethnic
"4730 University Dr NW, Huntsville, AL 35816-3407","American,Bar","American, Bar","Takeout, Seating, Television, Wheelchair Accessible, Full Bar, Serves Alcohol, Table Service",AL 35816-3407,"Lunch, Dinner",$$ - $$$,,Hooters,,Bar/Club,Geography/Ethnic
"950 Old Monrovia Rd NW, Huntsville, AL 35806",Mexican,Mexican,Drive Thru,AL 35806,"Breakfast, Lunch, Dinner",$,,Taco Bell,,LSR,Geography/Ethnic
"102 Eble St, Gadsden, AL 35904","Asian,Thai,Vegetarian Friendly","Asian, Thai",,AL 35904,"Lunch, Dinner",$$ - $$$,,Kati Thai,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"6125 University Dr Suite 28, Huntsville, AL 35806",,,,AL 35806,Lunch,$$ - $$$,,Subway,,FSR,Food-Centric
"529 Broad St, Gadsden, AL 35901-3719","American,Bar","American, Bar","Takeout, Outdoor Seating, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 35901-3719,"Lunch, Dinner",$$ - $$$,,Jefferson's,,Bar/Club,Geography/Ethnic
"4920 University Dr NW, Huntsville, AL 35816-1804","American,Vegetarian Friendly,Vegan Options",American,,AL 35816-1804,"Lunch, Dinner, Brunch, Breakfast",$$ - $$$,,Golden Corral,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"519 Broad St 616 Banks St Glencoe, Gadsden, AL 35901-3719","Italian,Pizza,Vegetarian Friendly","Italian, Pizza",,AL 35901-3719,,$$ - $$$,$2 - $16,Tre Ragazzi's Italian Cafe,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"3305 Bob Wallace Ave SW, Huntsville, AL 35805-4007","American,Bar,Pub","American, Bar, Pub","Outdoor Seating, Seating, Serves Alcohol, Table Service",AL 35805-4007,"Lunch, Dinner, Drinks",$$ - $$$,,The Nook,,Bar/Club,Geography/Ethnic
"5850 University Dr NW Ste D3 Suite D3, Huntsville, AL 35806-2520",Seafood,Seafood,,AL 35806-2520,,$$ - $$$,,Pier 88 Boiling Seafood & Bar Huntsville,,FSR,Food-Centric
"4925 University Dr NW Ste B, Huntsville, AL 35816-1886","American,Southwestern,Bar","American, Bar, Southwestern","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35816-1886,"Lunch, Dinner",$$ - $$$,,Chili's Grill & Bar,,Bar/Club,Geography/Ethnic
"153 Cox Creek Pkwy S, Florence, AL 35630-3264","Mexican,Vegetarian Friendly",Mexican,,AL 35630-3264,"Lunch, Dinner",$$ - $$$,,La Hacienda Mexican Restaurant,Vegetarian Friendly,FSR,Geography/Ethnic
"4896 University Dr NW, Huntsville, AL 35816-1848",American,American,"Takeout, Wheelchair Accessible, Seating, Table Service",AL 35816-1848,"Breakfast, Lunch",$,,Waffle House,,LSR,Geography/Ethnic
"1350 N Pine St, Florence, AL 35630-2150","American,Barbecue","American, Barbecue","Takeout, Wheelchair Accessible, Seating",AL 35630-2150,"Lunch, Dinner",$,,Dick Howell Barbeque Pit,,Bar/Club,Geography/Ethnic
"4925 University Dr Nw Ste 162, Huntsville, AL 35816","Italian,Pizza,Fast Food","Pizza, Italian, Fast Food","Seating, Wheelchair Accessible",AL 35816,"Lunch, Dinner",$,,Cicis,,LSR,Geography/Ethnic
"2887 Florence Blvd next to 5 Guys, Florence, AL 35630-9555","Mexican,Southwestern,Fast Food","Mexican, Fast Food, Southwestern",,AL 35630-9555,"Lunch, Dinner",$,,Blue Coast Burrito,"Vegan Options, Vegetarian Friendly",LSR,Geography/Ethnic
"108 E Mobile St, Florence, AL 35630-4761","American,Bar,Pub","Takeout, Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Parking Available, Street Parking, Accepts Credit Cards","American, Bar, Pub",AL 35630-4761,"Lunch, Dinner, Late Night",$,$6 - $9,Wildwood Tavern,,Bar/Club,Geography/Ethnic
"106 E Mobile St, Florence, AL 35630-4761","American,Pizza,Fast Food","American, Pizza, Fast Food",,AL 35630-4761,"Lunch, Dinner, Late Night",$,$3 - $9,The Chicago Cafe,,LSR,Geography/Ethnic
"Space and Rocket Center 1 Tranquility Base, Huntsville, AL 35805",German,German,"Wheelchair Accessible, Seating",AL 35805,Dinner,$$ - $$$,,BierGarten,,FSR,Geography/Ethnic
"1411 Huntsville Rd, Florence, AL 35630-4201",American,American,"Reservations, Seating, Serves Alcohol, Table Service, Takeout, Wheelchair Accessible",AL 35630-4201,"Lunch, Dinner",$$$$,,Ray's at the Bank,,FSR,Geography/Ethnic
"511 Jordan Ln NW, Huntsville, AL 35805-2625","American,Bar","American, Bar","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35805-2625,"Lunch, Dinner",$,,Toybox Bistro,,Bar/Club,Geography/Ethnic
"1047 Jeff Road Suite 10, Huntsville, AL 35806","American,Barbecue,Healthy","Barbecue, American, Healthy",,AL 35806,"Lunch, Dinner",$,$6 - $15,LawLers Barbecue,,Bar/Club,Geography/Ethnic
"4160 County Road 200, Florence, AL 35633-4102","American,Vegetarian Friendly",American,,AL 35633-4102,"Lunch, Dinner",$$ - $$$,,Southern Farm Table,Vegetarian Friendly,FSR,Geography/Ethnic
"2870 Florence Blvd, Florence, AL 35630-9552","American,Bar","American, Bar","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 35630-9552,"Lunch, Dinner",$$ - $$$,,Buffalo Wild Wings,,Bar/Club,Geography/Ethnic
"3370 Cloverdale Rd, Florence, AL 35633-1403","Italian,Bar,Pizza","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service","Italian, Pizza, Bar, Pub",AL 35633-1403,"Lunch, Dinner, Drinks",$$ - $$$,,Lil Capones Italian Bar and Grill,Vegetarian Friendly,Bar/Club,Geography/Ethnic
"339 Seville St, Florence, AL 35630-1519","American,Bar,Pizza","Television, Highchairs Available, Wheelchair Accessible, Gift Cards Available, Takeout, Seating, Free Off-Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Parking Available, Accepts Credit Cards, Table Service","Pizza, American, Bar",AL 35630-1519,"Lunch, Dinner, Late Night",$$ - $$$,$10 - $20,Sam's Sports Grill,Vegetarian Friendly,Bar/Club,Geography/Ethnic
"2357 Whitesburg Dr SE, Huntsville, AL 35801-3841","German,European,Central European","Outdoor Seating, Wheelchair Accessible, Serves Alcohol, Takeout, Reservations, Seating, Parking Available, Free Off-Street Parking, Highchairs Available, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service","German, European, Central European",AL 35801-3841,"Lunch, Dinner",$$ - $$$,$10 - $21,Hildegard's German Cuisine,"Vegetarian Friendly, Gluten Free Options",FSR,Geography/Ethnic
"315 N Court St, Florence, AL 35630-4776","American,Vegetarian Friendly,Vegan Options",American,,AL 35630-4776,,$,$5 - $13,Big Bad Breakfast-Florence,"Vegetarian Friendly, Vegan Options",LSR,Geography/Ethnic
"4874 University Drive, Huntsville, AL 35816",American,American,"Seating, Takeout, Wheelchair Accessible, Table Service",AL 35816,"Breakfast, Lunch, Dinner, Late Night",$,,Denny's,,LSR,Geography/Ethnic
"150 Cox Creek Pkwy S, Florence, AL 35630-3263","American,Armenian,Vegetarian Friendly","American, Armenian",,AL 35630-3263,"Breakfast, Lunch, Dinner, Brunch",$$ - $$$,,Cracker Barrel,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"5901 University Drive, Huntsville, AL 35806","American,Fast Food","American, Fast Food","Takeout, Seating, Parking Available, Wheelchair Accessible, Table Service",AL 35806,"Lunch, Dinner, Late Night",$,,Steak 'n Shake,,LSR,Geography/Ethnic
"5901 University Dr NW, Huntsville, AL 35806-2506","American,Bar,Pub","American, Bar, Pub","Seating, Wheelchair Accessible, Table Service, Takeout, Serves Alcohol",AL 35806-2506,"Lunch, Dinner",$$ - $$$,,Twin Peaks,,Bar/Club,Geography/Ethnic
"2701 Patton Rd SW, Huntsville, AL 35805-4352","Asian,Korean,Vegetarian Friendly","Asian, Korean",,AL 35805-4352,"Lunch, Dinner",$$ - $$$,,Shinsegae Oriental Restaurant,Vegetarian Friendly,FSR,Geography/Ethnic
"311 S Court St, Florence, AL 35630-5611","American,Bar,Barbecue","American, Bar, Barbecue, Pub",,AL 35630-5611,"Lunch, Dinner",$$ - $$$,$5 - $15,flobama,,Bar/Club,Geography/Ethnic
"1529 N Wood Ave, Florence, AL 35630-2103","Chinese,Sushi,Asian","Sushi, Asian, Chinese",,AL 35630-2103,"Lunch, Dinner",$,,Rice Box Asian Cuisine,"Vegetarian Friendly, Vegan Options",LSR,Geography/Ethnic
"10 Hightower Pl, Florence, AL 35630-4166","American,Vegetarian Friendly","Reservations, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",American,AL 35630-4166,"Dinner, Late Night",$$$$,$25 - $100,360 Grille,Vegetarian Friendly,FSR,Geography/Ethnic
"1424 Huntsville Rd, Florence, AL 35630-4202","American,Diner","Takeout, Seating, Wheelchair Accessible","American, Diner",AL 35630-4202,"Breakfast, Lunch",$,,Staggs Grocery,,LSR,Geography/Ethnic
"4953 University Dr NW, Huntsville, AL 35816-1805","American,Seafood","American, Seafood",Wheelchair Accessible,AL 35816-1805,Dinner,$,,Captain D's,,LSR,Geography/Ethnic
"107 N Court St, Florence, AL 35630-4733","Italian,Pizza,Vegetarian Friendly","Italian, Pizza",,AL 35630-4733,,$$ - $$$,$10 - $15,Ricatonis,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"302 N Court St, Florence, AL 35630-4738","Mexican,Southwestern,Vegetarian Friendly","Takeout, Outdoor Seating, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service","Mexican, Southwestern",AL 35630-4738,"Lunch, Dinner",$$ - $$$,,Rosie's Mexican Cantina,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"857 Florence Blvd, Florence, AL 35630-4870",Pizza,Pizza,"Takeout, Wheelchair Accessible, Delivery",AL 35630-4870,"Dinner, Lunch",$,,Pizza Chef,,LSR,Food-Centric
"120 N Court St, Florence, AL 35630-4766","American,Vegetarian Friendly,Vegan Options","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Gift Cards Available",American,AL 35630-4766,"Lunch, Dinner, Brunch",$$ - $$$,,Odette,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"1627 Darby Dr, Florence, AL 35630-2743","American,Deli,Soups","American, Deli, Soups",,AL 35630-2743,"Lunch, Breakfast, Dinner",$$ - $$$,,Sweet Basil Alabama,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"1651 E University Dr, Auburn, AL 36830-5237",,,"Wheelchair Accessible, Seating",AL 36830-5237,"Lunch, Dinner",$$ - $$$,,McAlister's Deli,,FSR,Food-Centric
"1050 Clayborn Liles Drive, Florence, AL 35630","American,Bar,Seafood","American, Bar, Seafood","Gift Cards Available, Takeout, Outdoor Seating, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 35630,"Lunch, Dinner",$$ - $$$,,Stanfield's River Bottom Grille,,Bar/Club,Geography/Ethnic
"1832 Opelika Rd, Auburn, AL 36830-2829","Mexican,Southwestern,Vegetarian Friendly","Mexican, Southwestern",,AL 36830-2829,"Lunch, Dinner",$$ - $$$,,Laredo Mexican Grille,Vegetarian Friendly,FSR,Geography/Ethnic
"201 N Seminary St, Florence, AL 35630-4703","American,Steakhouse","American, Steakhouse","Takeout, Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Reservations",AL 35630-4703,"Lunch, Dinner",$$ - $$$,,Legend's Steakhouse,,FSR,Geography/Ethnic
"323 Airport Rd, Auburn, AL 36830-5702","Japanese,Steakhouse,Sushi","Japanese, Sushi, Asian, Steakhouse","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Reservations, Table Service",AL 36830-5702,Dinner,$$ - $$$,,Mikata Japanese Steak House,,FSR,Geography/Ethnic
"322 N Court St, Florence, AL 35630-4743","American,Barbecue","Barbecue, American",,AL 35630-4743,"Lunch, Dinner, Drinks",$$ - $$$,$5 - $10,306 Barbecue,,Bar/Club,Geography/Ethnic
"10 Hightower Pl, Florence, AL 35630-4166","American,Vegetarian Friendly",American,,AL 35630-4166,"Lunch, Dinner, Brunch, Breakfast",$$ - $$$,,Swampers Bar & Grille,Vegetarian Friendly,FSR,Geography/Ethnic
"117 N Court St, Florence, AL 35630-4767","Sushi,Asian,Thai","Sushi, Asian, Thai",,AL 35630-4767,,$$ - $$$,$6 - $22,Yumm Thai Sushi and Beyond,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Food-Centric
"201 Cox Creek Pkwy,, Florence, AL 35630","Japanese,Sushi,Asian","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Reservations, Table Service","Japanese, Sushi, Asian",AL 35630,"Lunch, Dinner",$$ - $$$,,Umi Japanese Steakhouse,,FSR,Geography/Ethnic
"950 Makers Way NW, Huntsville, AL 35806-3587",American,American,,AL 35806-3587,,,,Dave & Buster's,,FSR,Geography/Ethnic
"2021 S College St, Auburn, AL 36832-5891","Chinese,Fast Food,Asian","Chinese, Asian, Fast Food",Wheelchair Accessible,AL 36832-5891,"Lunch, Dinner",$,,Ming House,,LSR,Geography/Ethnic
"217 E Thach Ave, Auburn, AL 36830-0131","American,Bar,Deli","American, Bar, Deli, Pub","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol",AL 36830-0131,"Lunch, Dinner",$,,Momma Goldberg's Deli,,Bar/Club,Geography/Ethnic
"754 E Glenn Ave, Auburn, AL 36830-5017","American,Deli","American, Deli",,AL 36830-5017,"Breakfast, Lunch, Dinner, Brunch",$,$4 - $9,Chappy's Deli,,LSR,Geography/Ethnic
"105 N Court St, Florence, AL 35630-4733","American,Bar,Vegetarian Friendly","Takeout, Reservations, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music","American, Bar",AL 35630-4733,"Lunch, Dinner, Brunch, Late Night",$$ - $$$,,City Hardware,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Bar/Club,Geography/Ethnic
"2319 Bent Creek Rd Ste 400, Auburn, AL 36830-6434",,,,AL 36830-6434,,$$ - $$$,,"Umami Steak, Seafood, Oyster and Pacific Rim",,FSR,Food-Centric
"186 N Donahue Dr, Auburn, AL 36832-7647",Greek,Greek,,AL 36832-7647,"Lunch, Dinner",,,Insomnia,,FSR,Geography/Ethnic
"3406 Florence Blvd, Florence, AL 35634-2541","American,Seafood","American, Seafood","Takeout, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Table Service",AL 35634-2541,"Lunch, Dinner",$$ - $$$,,Newbern's Restaurant,,FSR,Geography/Ethnic
"Court Street, Florence, AL 35630","Italian,Pizza,Vegetarian Friendly","Italian, Pizza",,AL 35630,"Lunch, Dinner",$$ - $$$,,The Pie Factory,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"1750 Opelika Rd Suite B, Auburn, AL 36830-1813",Thai,Thai,,AL 36830-1813,"Lunch, Dinner",$$ - $$$,$6 - $30,Savanh Thai Kitchen,,FSR,Geography/Ethnic
"1629 S College St, Auburn, AL 36832-5912",Mexican,Mexican,"Wheelchair Accessible, Table Service, Seating",AL 36832-5912,"Lunch, Dinner",$,,Taqueria Y Carniceria Plaza,,LSR,Geography/Ethnic
"2055 E University Dr, Auburn, AL 36830-3336","Asian,Korean","Asian, Korean","Seating, Table Service, Reservations, Wheelchair Accessible",AL 36830-3336,Dinner,$$ - $$$,,Jin Korean Restaurant,,FSR,Geography/Ethnic
"1032 Opelika Rd Across From Country's Bar B Q, Auburn, AL 36830-4026","Mexican,Vegetarian Friendly",Mexican,,AL 36830-4026,"Dinner, Lunch",$,,Agave Loco Mexican Grill,Vegetarian Friendly,LSR,Geography/Ethnic
"133 W Longleaf Dr, Auburn, AL 36832-6627",Deli,Deli,"Takeout, Seating, Wheelchair Accessible",AL 36832-6627,"Lunch, Dinner",$,,Momma Goldberg's Deli,,LSR,Food-Centric
"120 N College St, Auburn, AL 36830-4706","American,Cafe","American, Cafe","Takeout, Seating, Wheelchair Accessible",AL 36830-4706,"Breakfast, Lunch, Dinner, Brunch",$,,Big Blue Bagel & Deli,,LSR,Geography/Ethnic
"2311 Bent Creek Rd Suite 200, Auburn, AL 36830-6434",American,American,"Table Service, Seating",AL 36830-6434,"Breakfast, Lunch",$$ - $$$,,Another Broken Egg Cafe,,FSR,Geography/Ethnic
"435 N Dean Rd Suite J, Auburn, AL 36830-5047","Mexican,Latin","Latin, Mexican",,AL 36830-5047,"Breakfast, Lunch, Dinner",$,,Taqueria Durango,,LSR,Geography/Ethnic
"1409 S College St, Auburn, AL 36832-5900",Pizza,Pizza,,AL 36832-5900,"Lunch, Dinner",,,Hungry Howie's Pizza,,FSR,Food-Centric
"161 E Magnolia Ave, Auburn, AL 36830-4721","American,Bar,Pub","American, Bar, Pub","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",AL 36830-4721,"Lunch, Dinner",$$ - $$$,,Draft House,,Bar/Club,Geography/Ethnic
"1805 Opelika Rd, Auburn, AL 36830-2807","American,Seafood","American, Seafood","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",AL 36830-2807,"Dinner, Lunch",$$ - $$$,,Red Lobster,,FSR,Geography/Ethnic
"2162 Valleydale Rd, Hoover, AL 35244",American,American,,AL 35244,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Geography/Ethnic
"326 W Magnolia Ave, Auburn, AL 36832","American,Fast Food","American, Fast Food","Seating, Wheelchair Accessible, Drive Thru",AL 36832,"Lunch, Breakfast, Dinner",$,,Chick-fil-A,,LSR,Geography/Ethnic
"1409 S College St Ste 112, Auburn, AL 36832-5900","Mexican,Southwestern,Vegetarian Friendly","Mexican, Southwestern",,AL 36832-5900,"Lunch, Dinner",$$ - $$$,,Acapulco's Mexican Grill,Vegetarian Friendly,FSR,Geography/Ethnic
"1849 Ogletree Rd, Auburn, AL 36830-7711",American,American,"Seating, Table Service",AL 36830-7711,Dinner,$$ - $$$,,Hamilton's,,FSR,Geography/Ethnic
"232 N Dean Rd, Auburn, AL 36830-5019",American,American,"Wheelchair Accessible, Seating",AL 36830-5019,"Lunch, Dinner",$,,Tenda Chick,,LSR,Geography/Ethnic
"339 S College St Ste E, Auburn, AL 36830-7481","Italian,Pizza,Vegetarian Friendly","Pizza, Italian",,AL 36830-7481,"Dinner, Lunch",$,,Uncle Maddio's Pizza Joint,Vegetarian Friendly,LSR,Geography/Ethnic
"2415 Moores Mill Rd Suite 200, Auburn, AL 36830-8480","Italian,Pizza,Vegetarian Friendly","Pizza, Italian",,AL 36830-8480,"Lunch, Dinner",$$ - $$$,,Johnny Brusco's New York Style Pizza,Vegetarian Friendly,FSR,Geography/Ethnic
"2319 Bent Creek Rd Suite #300, Auburn, AL 36830","Japanese,Sushi,Chilean","Japanese, Sushi, Chilean, South American",Reservations,AL 36830,,$$ - $$$,,Sushiya Japanese Restaurant,,FSR,Geography/Ethnic
"2640 Valley Dale Rd, Hoover, AL 35244",,,,AL 35244,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"2059 S College St, Auburn, AL 36832-5829",Fast Food,Fast Food,"Takeout, Wheelchair Accessible, Seating",AL 36832-5829,"Dinner, Lunch",$,,VooDoo Wing Co.,,LSR,Food-Centric
"134 N College St, Auburn, AL 36830-4706","American,Cafe","American, Cafe","Takeout, Seating, Parking Available, Street Parking, Television, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards",AL 36830-4706,"Breakfast, Lunch, Brunch",$,,Bizilia's Cafe,,LSR,Geography/Ethnic
"3421 S Shades Crest Rd Suite 101, Hoover, AL 35244-3550",,,,AL 35244-3550,"Lunch, Dinner",,,Peking Wok,,FSR,Food-Centric
"2408 East University Drive Suite 100, Auburn, AL 36830","Italian,Pizza,Vegetarian Friendly","Pizza, Italian",,AL 36830,"Lunch, Dinner",$$ - $$$,,Johnny Brusco's New York Style Pizza - Curbside Pickup Available,Vegetarian Friendly,FSR,Geography/Ethnic
"2341 John Hawkins Pkwy, Hoover, AL 35244-3503",Mexican,Mexican,,AL 35244-3503,"Lunch, Dinner",,,La Brisa Mexican Restaurant,,FSR,Geography/Ethnic
"1658 S College St, Auburn, AL 36832-6637","Mexican,Southwestern,Vegetarian Friendly","Mexican, Southwestern",,AL 36832-6637,"Lunch, Dinner",$$ - $$$,,El Dorado Mexican Restaurant,Vegetarian Friendly,FSR,Geography/Ethnic
"1841 Montgomery Hwy Ste 105, Hoover, AL 35244-2525",,,,AL 35244-2525,"Lunch, Dinner",,,Dehli Darbar Indo Pak Cuisine,,FSR,Food-Centric
"1024 Marble Ter Ste 102, Hoover, AL 35244-4903",,,,AL 35244-4903,,,,Super Chix,,FSR,Food-Centric
"1401 Doug Baker Blvd, Hoover, AL 35242-4974",Pizza,Pizza,,AL 35242-4974,"Lunch, Dinner",$,,Marco's Pizza,,LSR,Food-Centric
"3775 Lorna Rd, Hoover, AL 35216-6205",American,American,,AL 35216-6205,"Lunch, Dinner",,,Arby's,,FSR,Geography/Ethnic
"2740 John Hawkins Pkwy, Hoover, AL 35244-4001","American,Steakhouse","American, Steakhouse","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Highchairs Available, Table Service",AL 35244-4001,"Lunch, Dinner",$$ - $$$,,Logan's Roadhouse,,FSR,Geography/Ethnic
"2535 John Hawkins Pkwy, Hoover, AL 35244-3533",American,American,,AL 35244-3533,,,,Waffle House,,FSR,Geography/Ethnic
"3133 Lorna Rd Ste 112, Hoover, AL 35216-7401",Mexican,Mexican,,AL 35216-7401,,,,Los Pedros Taqueria,,FSR,Geography/Ethnic
"160 Main St Ste 140, Hoover, AL 35244-5058","Chinese,Asian,Szechuan","Chinese, Asian","Takeout, Wheelchair Accessible, Seating, Table Service",AL 35244-5058,"Lunch, Dinner",$$ - $$$,,China Bistro,,FSR,Geography/Ethnic
"3150 Lorna Rd, Hoover, AL 35216-5421",,,,AL 35216-5421,Lunch,,,People's Choice Cafe,,FSR,Food-Centric
"5519 Grove Blvd Ste 137, Hoover, AL 35226-4606",,,,AL 35226-4606,"Lunch, Dinner",,,American Deli,,FSR,Food-Centric
"180 Main St, Hoover, AL 35244-5064",,,Reservations,AL 35244-5064,"Breakfast, Lunch, Dinner",,,Roly Poly,,FSR,Food-Centric
